Ba-133   81     33859   28198    0.329
Ba-133   356    19278   28198    0.6205
Na-22    511    16977   33604    1.0
Co-60    1173   201     3253     0.9985
Na-22    1274   1750    33604    0.899
Co-60    1332   179     3253     0.999826
Th-232   2614   1540    700000   0.3585
